ID,cardID,layout,name,manaCost,cmc,colors,rarity,type,types,subtypes,text,flavorText,power,toughness,colorIdentity,multiverseID,expansion,price,inventory,foilPrice,foilInventory,priceLastUpdated,onlineOnlyVersion,backroom,showcase,foilBackroom,foilShowcase
147922,e0391fdb8065fa5cc50b8a97356627ee8161ac92,normal,Knight of the Kitchen Sink (a),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)","""Whew. For a minute, I thought I'd forgotten the garlic press.""",2,2,W,439401,Unstable,-1,0,-1,0,0,0,0,0,0,0
147923,8e2d7264aaa576e9be3f123bee8af33afe557c84,normal,Knight of the Kitchen Sink (b),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)","""Whew. For a minute, I thought I'd forgotten the gravy boat.""",2,2,W,439625,Unstable,-1,0,-1,0,0,0,0,0,0,0
147924,baafbd63fa41a71c6e9d92025c6435ddd9cc1782,normal,Knight of the Kitchen Sink (c),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)","""Whew. For a minute, I thought I'd forgotten the juicer.""",2,2,W,439626,Unstable,-1,0,-1,0,0,0,0,0,0,0
147925,5d7055b23d56b07cce509d24bf28457901f2ca6b,normal,Knight of the Kitchen Sink (d),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)","""Whew. For a minute, I thought I'd forgotten the melon baller.""",2,2,W,439627,Unstable,-1,0,-1,0,0,0,0,0,0,0
147926,500f291e7f24c282657ea267a767e503396dbf61,normal,Knight of the Kitchen Sink (e),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)","""Whew. For a minute, I thought I'd forgotten the olive forks.""",2,2,W,439628,Unstable,-1,0,-1,0,0,0,0,0,0,0
147927,397497ae65fef5f1a54cca1ea3dec67a2bce6def,normal,Knight of the Kitchen Sink (f),{W}{W},2,White,Uncommon,Artifact Creature — Cyborg Knight,"Artifact,Creature","Cyborg,Knight","First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)","""Whew. For a minute, I thought I'd forgotten the tea cozy.""",2,2,W,439629,Unstable,-1,0,-1,0,0,0,0,0,0,0
147961,dca79c909323bb9ff4929c211130fc3db2922931,normal,S.N.E.A.K. Dispatcher,{1}{U},2,Blue,Uncommon,Creature — Human Spy,Creature,"Human,Spy","{2}{U}, {T}: Look at the top card of target player's library. If it has an Agents of S.N.E.A.K. watermark, you may reveal it and put it into your hand. Otherwise, put it on the top or bottom of its owner's library.",,2,1,U,439432,Unstable,-1,0,-1,0,1517760302231,0,0,0,0,0
147967,ce867f89c4eea389f92eaf29f3e5eca60db255b8,normal,Very Cryptic Command (b),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,"Choose two —
• Untap two target permanents.
• Tap each permanent target player controls with exactly one word in its name.
• Discard all the cards in your hand, then draw that many cards.
• Return target instant or sorcery card from your graveyard to your hand.",,,,U,439438,Unstable,-1,0,-1,0,0,0,0,0,0,0
147968,80357df8d37077125aa2f76602ee2359e5fd9529,normal,Very Cryptic Command (a),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,"Choose two —
• Switch target creature's power and toughness until end of turn.
• Target creature can't be blocked this turn.
• Draw a card. If that card's art is by Wayne England, you may reveal it and draw another card.
• Assemble a Contraption.",,,,U,439645,Unstable,-1,0,-1,0,0,0,0,0,0,0
147969,3b56e0e2b16c17133f28e9e1539b5fc1d66d4f14,normal,Very Cryptic Command (c),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,"Choose two —
• Draw a card from an opponent's library.
• Copy target instant or sorcery spell. You may choose new targets for the copy.
• Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.
• Create a 1/1 colorless Gnome artifact creature token.",,,,U,439646,Unstable,-1,0,-1,0,0,0,0,0,0,0
147970,7e70b405a3d9393de09084182ccf6d4dbb06610f,normal,Very Cryptic Command (d),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,"Choose two —
• Return target permanent to its controller's hand.
• Draw two cards, then discard a card.
• Change the target of target spell with a single target.
• Turn over target nontoken creature.",,,,U,439647,Unstable,-1,0,-1,0,0,0,0,0,0,0
147971,f5801b2c2f2605d4226c929f9960a1365dad4f1b,normal,Very Cryptic Command (e),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,"Choose two —
• Counter target black-bordered spell.
• Return target creature to its owner's hand.
• Untap each permanent you control with a watermark.
• Roll two six-sided dice. Target player puts the top X cards of his or her library into his or her graveyard, where X is the total of those results.",,,,U,439648,Unstable,-1,0,-1,0,0,0,0,0,0,0
147972,f2a48daf1170b98aa25f5964a03d3a70cd074edc,normal,Very Cryptic Command (f),{1}{U}{U}{U},4,Blue,Rare,Instant,Instant,,Choose two —
• Scry 3.
• Create a 2/2 black Rogue creature token with menace.
• Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.
• Return all artifacts target player controls to their owner's hand.,,,,U,439649,Unstable,-1,0,-1,0,0,0,0,0,0,0
147983,f691b295f552fbeb825f2302d48a6a169da72f0e,normal,Hazmat Suit (Used),{3}{B},4,Black,Common,Enchantment — Aura,Enchantment,Aura,"Enchant creature
Enchanted creature gets +2/+1 and has menace.
Whenever a player's skin or fingernail touches enchanted creature, that player loses 2 life.",,,,B,439446,Unstable,-1,0,-1,0,0,0,0,0,0,0
147991,d345f7cb7b9388213afca0b8982806b1f9e130a8,normal,"Rumors of My Death . . .",{2}{B},3,Black,Uncommon,Enchantment,Enchantment,,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.","By the fourth funeral, the mooks had gotten pretty good at them.",,,B,439454,Unstable,-1,0,-1,0,1517760305559,0,0,0,0,0
147993,520a73ed79ccae19d96842c0d695b7c319f1bda5,normal,Sly Spy (a),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, that player reveals his or her hand. You choose a card from it with the longest name. That player discards that card.","The Agents of S.N.E.A.K.—Serious, Nonstop Espionage and Kidnapping.",2,2,B,439456,Unstable,-1,0,-1,0,0,0,0,0,0,0
147994,22d4864d2e79a13c6cb4856e51b22fca5d296a77,normal,Sly Spy (b),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing left in its art. (Creatures without faces don't face anywhere.)",The Agents of S.N.E.A.K.—Silent Ninjas Evading Any Kapture.,2,2,B,439650,Unstable,-1,0,-1,0,0,0,0,0,0,0
147995,c24ee4228cf44fc16e8b4b0ef9d7b5d2e78b7b3e,normal,Sly Spy (c),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, that player loses a finger until Sly Spy leaves the battlefield. (The finger is chosen by its owner and can't roll dice or touch cards.)",The Agents of S.N.E.A.K.—Sinister Nerds Eliminating All Knowledge.,2,2,B,439651,Unstable,-1,0,-1,0,0,0,0,0,0,0
147996,63139b63d0f90bdae99292a091e7279ab421a9b9,normal,Sly Spy (d),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing right in its art. (Creatures without faces don't face anywhere.)","The Agents of S.N.E.A.K.—Skilled, Notably Efficient Assassin-Kickers.",2,2,B,439652,Unstable,-1,0,-1,0,0,0,0,0,0,0
147997,cfee9df85434ca60c5536d9403e1d4ef91e5d7de,normal,Sly Spy (e),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, that player reveals the top card of his or her library. Put that card into your hand and you lose life equal to its converted mana cost.",The Agents of S.N.E.A.K.—Spies Nimbly Eluding Adversaries' Knives.,2,2,B,439653,Unstable,-1,0,-1,0,0,0,0,0,0,0
147998,f4ab621ea807a02eefd76118bf3e3d50087f34d2,normal,Sly Spy (f),{2}{B},3,Black,Uncommon,Creature — Human Spy,Creature,"Human,Spy","Whenever Sly Spy deals combat damage to a player, roll a six-sided die. That player loses life equal to the result.","The Agents of S.N.E.A.K.—Subpar, Notoriously Evil Agent Killers.",2,2,B,439654,Unstable,-1,0,-1,0,0,0,0,0,0,0
